,Pred_sig,accuracy,quote
2022-04-25 09:36,1,0.81,980.57
2022-04-25 09:39,-1,0.81,988.23
2022-04-25 09:40,1,0.81,985.77
2022-04-25 09:42,-1,0.83,984.76
2022-04-25 09:43,1,0.81,986.77
2022-04-25 09:44,-1,0.81,984.82
2022-04-25 09:46,1,0.77,980.8
2022-04-25 09:47,-1,0.77,980.12
2022-04-25 09:55,1,0.85,989.57
2022-04-25 09:56,-1,0.83,995.68
2022-04-25 10:07,1,0.85,993.41
2022-04-25 10:08,-1,0.81,997.87
2022-04-25 10:09,1,0.79,999.06
2022-04-25 10:10,-1,0.81,1000.9
2022-04-25 10:13,1,0.79,999.82
2022-04-25 10:19,-1,0.83,993.53
2022-04-25 10:20,1,0.83,993.88
2022-04-25 10:21,-1,0.83,990.6
2022-04-25 10:22,1,0.81,991.25
2022-04-25 10:33,-1,0.81,1007.85
2022-04-25 10:39,1,0.79,1003.41
2022-04-25 10:42,-1,0.75,1001.99
2022-04-25 10:43,1,0.75,1002.73
2022-04-25 10:45,-1,0.77,1002.98
2022-04-25 10:46,1,0.77,999.18
2022-04-25 10:47,-1,0.77,998.41
2022-04-25 10:49,1,0.79,1002.08
2022-04-25 10:51,-1,0.8,996.44
2022-04-25 10:55,1,0.8,994.87
2022-04-25 10:57,-1,0.82,994.86
2022-04-25 10:58,1,0.82,994.86
2022-04-25 10:59,-1,0.8,995.01
2022-04-25 11:00,1,0.8,995.86
2022-04-25 11:02,-1,0.8,993.5
2022-04-25 11:04,1,0.78,995.5
2022-04-25 11:07,-1,0.78,992.98
2022-04-25 11:08,1,0.78,993.26
2022-04-25 11:11,-1,0.76,995.22
2022-04-25 11:13,1,0.73,996.33
2022-04-25 11:16,-1,0.73,993.36
2022-04-25 11:17,1,0.76,994.38
2022-04-25 11:19,-1,0.73,995.95
2022-04-25 11:20,1,0.73,999.88
2022-04-25 11:22,-1,0.71,998.9
2022-04-25 11:26,1,0.73,1000.98
2022-04-25 11:27,-1,0.8,1000.0
2022-04-25 11:36,1,0.73,1001.0
2022-04-25 11:39,-1,0.71,997.8
2022-04-25 11:56,1,0.74,993.26
2022-04-25 11:59,-1,0.84,991.75
2022-04-25 12:03,1,0.86,988.67
2022-04-25 12:05,-1,0.8,991.56
2022-04-25 12:06,1,0.8,993.5
2022-04-25 12:13,-1,0.82,994.98
2022-04-25 12:16,1,0.8,997.94
2022-04-25 12:17,-1,0.82,996.0
2022-04-25 12:23,1,0.84,996.16
2022-04-25 12:29,-1,0.74,996.85
2022-04-25 12:41,1,0.75,999.66
2022-04-25 12:47,-1,0.71,994.6
2022-04-25 12:49,1,0.8,998.66
2022-04-25 13:02,-1,0.65,990.99
2022-04-25 13:20,1,0.75,997.65
2022-04-25 13:27,-1,0.75,995.66
2022-04-25 13:29,1,0.77,996.99
2022-04-25 13:30,-1,0.79,999.8
2022-04-25 13:45,1,0.79,998.49
2022-04-25 13:47,-1,0.79,998.76
2022-04-25 13:50,1,0.77,997.41
2022-04-25 13:53,-1,0.77,996.72
2022-04-25 14:03,1,0.67,995.0
2022-04-25 14:07,-1,0.67,995.67
2022-04-25 14:09,1,0.63,998.89
2022-04-25 14:10,-1,0.66,998.5
2022-04-25 14:19,1,0.62,1000.44
2022-04-25 14:29,-1,0.64,1004.55
2022-04-25 14:33,1,0.66,1005.06
2022-04-25 14:34,-1,0.68,1005.28
2022-04-25 14:42,1,0.7,1000.88
2022-04-25 14:55,-1,0.81,998.57
2022-04-25 14:57,1,0.83,997.33
2022-04-25 15:01,-1,0.87,989.19
2022-04-25 15:03,1,0.89,982.69
2022-04-25 15:08,-1,0.91,983.7
2022-04-25 15:10,1,0.93,983.32
2022-04-25 15:13,-1,0.93,983.98
2022-04-25 15:14,1,0.93,984.47
2022-04-25 15:29,-1,0.85,991.47
2022-04-25 15:31,1,0.85,989.14
2022-04-25 15:32,-1,0.85,990.46
2022-04-25 15:37,1,0.81,991.45
2022-04-25 15:45,-1,0.8,990.2
2022-04-25 15:51,1,0.78,994.72
2022-04-25 15:53,-1,0.78,998.24
