,datetime,respond_timestamp,quote,Pred_Signal,buy_power,accuracy,Return,cum_sum_return
0,2022-04-25 09:36,2022-04-25 09:36,980.57,1,39.5,0.81,,
1,2022-04-25 09:38,2022-04-25 09:38,991.77,1,39.5,0.79,,
2,2022-04-25 09:39,2022-04-25 09:39,988.23,-1,39.5,0.81,-0.3569375964185162,-0.3569375964185162
3,2022-04-25 09:40,2022-04-25 09:40,985.77,1,39.5,0.81,,
4,2022-04-25 09:41,2022-04-25 09:41,983.99,0,39.5,0.83,,
5,2022-04-25 09:42,2022-04-25 09:42,984.76,-1,39.5,0.83,0.0782528277726291,-0.2786847686458871
6,2022-04-25 09:43,2022-04-25 09:43,986.77,1,39.5,0.81,,
7,2022-04-25 09:44,2022-04-25 09:44,984.82,-1,39.5,0.81,-0.19761443902833742,-0.4762992076742245
8,2022-04-25 09:45,2022-04-25 09:45,979.78,0,39.5,0.83,,
9,2022-04-25 09:46,2022-04-25 09:46,980.8,1,39.5,0.77,,
10,2022-04-25 09:47,2022-04-25 09:47,980.12,-1,39.5,0.77,-0.06933115823817282,-0.5456303659123973
11,2022-04-25 09:48,2022-04-25 09:48,982.76,0,39.5,0.83,,
12,2022-04-25 09:49,2022-04-25 09:49,980.77,0,39.5,0.83,,
13,2022-04-25 09:50,2022-04-25 09:50,986.47,-1,39.5,0.81,0.5811760147639067,0.03554564885150935
14,2022-04-25 09:51,2022-04-25 09:51,990.74,0,39.5,0.83,,
15,2022-04-25 09:52,2022-04-25 09:52,986.75,-1,39.5,0.83,-0.40272927306861384,-0.3671836242171045
16,2022-04-25 09:53,2022-04-25 09:53,984.99,0,39.5,0.85,,
17,2022-04-25 09:54,2022-04-25 09:54,989.98,-1,39.5,0.81,0.5066041279606859,0.1394205037435814
18,2022-04-25 09:55,2022-04-25 09:55,989.57,1,39.5,0.85,,
19,2022-04-25 09:56,2022-04-25 09:56,995.68,-1,39.5,0.83,0.6174398981375617,0.7568604018811431
20,2022-04-25 09:57,2022-04-25 09:57,992.56,-1,39.5,0.85,-0.313353687931861,0.4435067139492821
21,2022-04-25 09:58,2022-04-25 09:58,992.6,0,39.5,0.87,,
22,2022-04-25 09:59,2022-04-25 09:59,990.5,-1,39.5,0.83,-0.21156558533145242,0.23194112861782967
23,2022-04-25 10:00,2022-04-25 10:00,991.46,0,39.5,0.88,,
24,2022-04-25 10:01,2022-04-25 10:01,991.44,0,39.5,0.88,,
25,2022-04-25 10:02,2022-04-25 10:02,990.37,-1,39.5,0.81,-0.1079238279674044,0.12401730065042527
26,2022-04-25 10:03,2022-04-25 10:03,988.48,-1,39.5,0.79,-0.19083776770297822,-0.06682046705255296
27,2022-04-25 10:04,2022-04-25 10:04,989.31,0,39.5,0.81,,
28,2022-04-25 10:05,2022-04-25 10:05,986.0,0,39.5,0.81,,
29,2022-04-25 10:06,2022-04-25 10:06,993.39,0,39.5,0.81,,
30,2022-04-25 10:07,2022-04-25 10:07,993.41,1,39.5,0.85,,
31,2022-04-25 10:08,2022-04-25 10:08,997.87,-1,39.5,0.81,0.4489586374206045,0.38213817036805153
32,2022-04-25 10:09,2022-04-25 10:09,999.06,1,39.5,0.79,,
33,2022-04-25 10:10,2022-04-25 10:10,1000.9,-1,39.5,0.81,0.184173122735376,0.5663112931034275
34,2022-04-25 10:11,2022-04-25 10:11,1003.7,-1,39.5,0.79,0.279748226596066,0.8460595196994936
35,2022-04-25 10:12,2022-04-25 10:12,1001.93,0,39.5,0.81,,
36,2022-04-25 10:13,2022-04-25 10:13,999.82,1,39.5,0.79,,
37,2022-04-25 10:14,2022-04-25 10:14,997.16,1,39.5,0.77,,
38,2022-04-25 10:15,2022-04-25 10:15,996.92,1,39.5,0.77,,
39,2022-04-25 10:16,2022-04-25 10:16,994.76,0,39.5,0.79,,
40,2022-04-25 10:17,2022-04-25 10:17,994.12,1,39.5,0.79,,
41,2022-04-25 10:18,2022-04-25 10:18,991.98,0,39.5,0.88,,
42,2022-04-25 10:19,2022-04-25 10:19,993.53,-1,39.5,0.83,0.15625315026512876,1.0023126699646223
43,2022-04-25 10:20,2022-04-25 10:20,993.88,1,39.5,0.83,,
44,2022-04-25 10:21,2022-04-25 10:21,990.6,-1,39.5,0.83,-0.3300197206906219,0.6722929492740004
45,2022-04-25 10:22,2022-04-25 10:22,991.25,1,39.5,0.81,,
46,2022-04-25 10:23,2022-04-25 10:23,990.09,1,39.5,0.81,,
47,2022-04-25 10:25,2022-04-25 10:25,998.23,1,39.5,0.81,,
48,2022-04-25 10:26,2022-04-25 10:26,998.45,1,39.5,0.81,,
49,2022-04-25 10:27,2022-04-25 10:27,999.78,0,39.5,0.83,,
50,2022-04-25 10:28,2022-04-25 10:28,1000.65,1,39.5,0.81,,
51,2022-04-25 10:29,2022-04-25 10:29,1002.92,0,39.5,0.81,,
52,2022-04-25 10:30,2022-04-25 10:30,1003.65,1,39.5,0.81,,
53,2022-04-25 10:31,2022-04-25 10:31,1003.99,1,39.5,0.85,,
54,2022-04-25 10:32,2022-04-25 10:32,1007.13,1,39.5,0.81,,
55,2022-04-25 10:33,2022-04-25 10:33,1007.85,-1,39.5,0.81,0.07149027434392163,0.743783223617922
